"","서울","수원신갈","기흥","오산","안성","천안","목천","청주","남청주","신탄진","대전","옥천","금강","영동","황간","추풍령","김천","구미","남구미","왜관","북대구","동대구","경산","영천","건천","경주","서울산","통도사","울산","양산","부산","동서울","경기광주","곤지암","일죽","서이천","음성","진천","증평","서청주","오창","남대전","추부","금산","무주","덕유산","장수","서상","지곡","생초","산청","단성","서진주","군자","서안산","안산","군포","동군포","부곡","북수원","동수원","마성","용인","양지","덕평","이천","여주","문막","원주","새말","둔내","면온","장평","속사","진부","횡계","북대전","유성","계룡","논산","익산","삼례","전주","서전주","김제","금산사","태인","정읍","내장산","백양사","장성","광주","동광주","창평","옥과","곡성","석곡","주암","승주","담양","순창","남원","남장수","지리산","함양","거창","가조","해인사","고령","성산","서순천","순천","광양","동광양","옥곡","진월","하동","진교","곤양","축동","사천","진주","문산","진성","지수","군북","장지","함안","산인","마산","동창원","진례","서김해","동김해","북부산","장유","가락","서부산","북창원","서서울","매송","비봉","발안","서평택","송악","당진","서산","해미","홍성","광천","대천","춘장대","서천","군산","동군산","서김제","부안","줄포","선운산","고창","영광","함평","무안","목포","춘천","홍천","횡성","북원주","남원주","신림","제천","남제천","북단양","단양","풍기","영주","예천","서안동","남안동","의성","군위","가산","다부","칠곡","남양산","물금","강릉","현남","서대전","안영","판암","서대구","화원옥포","달성","상주","선산","현풍","창녕","영산","남지","칠서","칠원","감곡","북충주","충주","청북","송탄","서안성"
"광천",11519,3433,1429,2256,2000,181,79,192,25,17,35,14,1,4,2,2,18,13,3,4,12,5,1,3,0,13,4,0,8,0,4,131,27,186,32,271,13,2,1,0,1,1,1,3,2,0,1,0,0,1,0,0,0,44162,6582,5674,5789,2,1891,2687,5094,504,1504,359,269,487,359,208,259,109,43,20,28,16,50,39,27,7,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,1,0,2,0,1,1,0,174527,18232,19901,15335,21236,7170,15390,16083,47114,35937,1743,61087,11243,27094,19661,39454,4742,5939,3188,1668,3315,1734,2133,1640,6309,189,179,41,56,319,65,976,16,263,18,36,16,4,13,3,0,0,0,0,3,0,1,511,377,4,3,7,19,1,0,0,1,0,0,0,0,0,0,17,8,29,4723,3574,5492
"대천",31679,9134,3378,5124,3758,1161,312,925,82,86,181,25,2,10,4,8,25,32,3,12,35,17,3,18,3,16,2,2,16,1,18,460,103,335,78,375,24,9,7,3,4,9,4,2,3,3,1,2,0,1,0,0,2,80242,11216,12741,9573,4,3698,6169,12583,1820,3864,832,673,1295,907,397,377,167,80,52,91,39,149,88,54,62,1,1,2,1,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2009,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,1,0,0,1,10,0,0,0,0,0,5,0,1,5,0,368401,32152,47602,48352,38029,23814,34602,34341,112111,148016,76431,2829,38833,135046,122789,238399,21325,25319,11879,6988,13254,6818,4105,4582,21201,574,402,93,51,820,82,475,30,97,38,118,26,3,22,8,0,1,0,0,3,1,0,1426,1101,25,10,14,36,0,0,2,1,0,0,0,0,0,0,23,17,130,6880,11791,8424
"춘장대",3825,1296,521,733,484,89,32,62,5,2,8,1,0,2,1,1,2,4,0,0,3,1,1,4,0,2,0,0,2,0,4,67,16,27,12,50,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11912,1811,1545,1604,0,526,858,1753,161,479,113,88,184,90,50,47,9,3,7,5,0,9,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54458,4849,7549,5582,6210,3664,4623,4695,10941,22491,14332,40243,963,28772,29209,65342,5615,6227,2751,1349,2681,1620,1184,1310,4768,71,50,9,4,76,109,463,2,12,2,9,11,0,1,0,0,1,0,0,2,0,0,192,62,1,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0,11,1264,1435,1620
"서천",11233,2903,1155,2133,995,127,28,63,3,9,4,2,0,1,0,0,2,1,0,2,4,2,0,1,0,0,0,2,2,0,3,151,26,86,18,108,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44861,6696,4785,4395,1,1358,2405,4145,328,995,270,146,326,182,84,103,60,20,8,15,10,50,29,13,7,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,146910,15663,14677,16160,14963,5837,10884,8557,24462,49133,30915,143213,31676,992,33092,132870,15124,17074,6326,4331,7434,3980,3390,3121,14200,142,104,20,14,152,19,77,3,6,6,11,2,0,4,0,0,0,0,0,0,0,0,267,192,1,1,0,8,0,0,0,1,0,0,0,0,0,0,2,1,14,2601,2596,1446
"군산",26652,3506,1467,1876,783,126,25,41,4,5,15,6,0,2,0,2,2,2,1,0,2,2,0,0,0,0,1,1,1,0,1,191,30,95,15,107,3,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,55204,7415,5823,4201,2,1420,2800,5245,658,1359,402,181,306,134,65,87,37,22,16,17,7,42,28,9,1,1,2,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,170298,19236,17029,16690,16253,6036,9995,8340,26669,38327,20085,107868,29832,35700,1331,61501,14407,32628,12581,8269,12732,7463,5937,5517,23918,172,110,20,21,174,10,89,7,9,1,5,2,0,3,0,0,0,0,0,0,0,0,318,208,0,0,1,2,0,0,1,0,0,0,0,0,0,0,8,1,11,2588,3352,1587
"동군산",16910,3749,1639,2348,999,169,36,41,12,7,15,1,0,4,0,1,1,2,0,0,4,3,2,1,1,3,2,0,0,1,7,222,22,76,13,71,4,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,191822,27331,22203,10155,2,3102,4213,6048,872,1432,429,133,269,155,109,129,30,9,19,12,2,17,24,6,6,1,1,7,0,12,1,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,15846,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,0,1,1652,0,1987,2,7475,4505,3200,2,1,2,11661,0,15108,0,429496,67337,37829,52148,36155,14808,32201,27622,97387,112661,46818,269500,80641,143527,30401,4362,49355,183054,72206,70387,98201,51527,41456,36202,158024,179,111,11,10,149,16,64,5,8,5,3,6,0,1,0,0,0,0,0,1,0,0,332,228,2,3,2,16,1,0,1,0,0,0,0,0,0,0,9,2,19,6290,6781,1568
"서김제",2314,535,176,327,159,18,5,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,18,1,11,2,8,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,22555,3608,3360,2323,1,504,1317,1198,66,232,42,27,34,26,16,13,5,1,1,10,1,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71344,10336,6907,5343,6280,1722,3177,3029,7027,11255,5439,19779,5196,15346,16739,62137,268,13042,27828,31591,43572,22640,20888,12893,58010,19,11,6,3,25,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,39,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1079,593,296
"부안",6780,1658,609,840,401,70,18,24,5,2,7,4,0,0,0,0,4,2,1,0,6,3,1,1,0,3,0,0,1,0,1,114,15,39,2,28,6,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,43276,7256,5715,3917,1,1118,1947,2702,239,635,98,77,134,90,39,35,18,5,3,7,2,20,7,5,5,0,0,1,0,3,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,145579,18187,13631,13687,11531,4000,6116,7155,16126,23128,7865,26280,6136,19892,32204,169801,17307,189,13993,17286,31728,15865,10340,7566,31239,72,33,9,4,98,7,27,1,5,4,8,2,0,2,0,0,0,0,0,0,0,0,118,74,0,1,2,8,0,0,2,0,0,0,0,0,0,0,0,1,7,1910,1682,822
"줄포",2493,656,228,296,130,29,4,11,4,2,1,1,0,0,0,0,3,0,0,0,1,1,0,1,1,1,0,0,2,0,2,36,4,20,4,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21762,3081,3200,1805,0,517,675,1083,95,258,40,23,47,36,6,11,3,0,0,5,1,6,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,68696,8727,6258,5444,5487,1846,3007,3372,9107,13735,4288,14615,2870,7830,12539,66705,29360,13955,615,9126,22276,21818,12680,11292,52731,34,9,2,1,33,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,50,32,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,866,612,313
"선운산",2236,519,221,268,137,13,2,4,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,7,4,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9945,1473,1640,1001,2,290,526,946,78,202,47,26,36,19,6,6,6,3,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44383,4050,3954,2889,3480,1036,1225,1734,3471,5970,2157,6069,1340,4900,8625,68740,34607,19016,15927,54,21581,56134,35729,32799,179593,18,7,3,0,16,1,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,711,501,328
"고창",3071,856,274,356,186,16,11,9,2,1,3,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,2,61,23,14,1,15,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,24075,3512,3910,1732,1,577,849,1500,91,361,72,29,52,28,12,18,8,4,2,3,0,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85619,10030,7923,5832,6445,1604,2779,3434,8225,12288,3886,11974,2359,7415,12733,94042,46732,32525,27149,25563,82,27546,17290,13168,49574,22,13,2,1,44,5,14,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,42,29,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,982,727,329
"영광",4677,1080,316,538,219,34,5,7,3,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,6,21,5,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18539,2642,2944,1702,0,597,885,1765,110,478,72,45,105,63,19,19,10,8,3,8,2,11,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85415,8740,7410,4887,5578,1334,1967,2269,4423,6963,2253,6836,1366,4665,7664,49990,23362,15408,18857,56560,28132,28,19720,17156,73122,68,36,6,2,54,3,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,95,52,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,874,878,379
"함평",3038,709,300,494,173,22,4,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,7,15,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12253,1782,1827,1243,0,472,818,1299,70,330,42,21,73,37,19,13,9,3,1,7,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63879,4633,4952,3198,3987,994,1221,1487,2819,4452,2214,3224,959,3355,5253,35183,19615,10100,10055,38257,17666,20488,290,22949,140132,33,22,6,2,25,5,12,3,6,0,2,0,0,1,0,0,0,0,0,0,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1128,642,309
"무안",5678,1527,544,861,306,44,9,13,0,0,6,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,81,13,43,4,44,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21490,2563,2862,4796,1,891,1301,2095,131,586,134,47,155,88,33,29,19,3,2,11,0,14,13,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93228,7221,7513,4916,6128,1478,1949,2211,4280,6716,2449,5579,1249,4261,6437,36987,14588,7950,10775,38489,15769,21158,16250,95,1877079,88,44,12,4,68,8,26,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,130,71,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,925,959,524
"목포",23835,5498,2227,2766,1228,266,43,50,11,4,25,1,0,3,0,0,3,7,1,0,8,3,1,2,0,1,0,0,1,1,4,367,52,143,29,187,8,3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,2,80542,9035,10901,6843,0,2421,4195,8179,782,2358,610,291,715,401,185,221,95,32,21,56,19,48,31,4,9,0,0,2,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,319426,26098,29957,17930,21338,5978,7256,7832,16451,25986,8697,22805,4547,17893,27593,152204,62537,30236,41030,191401,55770,91268,157702,1933487,81,467,218,35,22,440,54,163,4,13,7,9,3,1,0,0,1,0,0,0,1,0,0,734,479,3,1,1,5,0,0,0,0,0,0,0,0,0,0,16,5,22,3518,3733,2244
"춘천",4684,11421,2347,4502,1539,4187,320,56,2205,4050,9248,965,21,281,76,38,168,68,40,160,11881,6025,2101,2246,425,6117,1237,607,6121,966,8562,3743,445,1492,12094,728,2409,3160,2333,10694,4593,208,378,224,506,75,306,45,24,38,47,54,155,11465,2981,3554,2819,693,963,8076,14594,2487,6116,6485,2189,10730,21778,47786,45085,5165,3462,3452,5040,1152,6579,5107,6420,5049,990,1664,2511,446,3737,596,145,75,362,1261,50,177,469,5763,4,0,0,0,0,1,2,0,19,117,2,61,75,4,0,0,0,3,16,116,77,1,54,15,45,33,11,0,169,88,33,1,13,1,0,0,11,0,0,0,0,2,4,1,0,5,0,3530,941,634,536,443,568,656,1089,389,646,190,578,69,124,175,106,19,83,43,14,21,56,31,77,386,809,1301341,361421,177368,320162,26306,87474,5641,9387,5242,17470,5940,7459,19120,4849,2870,3742,8483,2702,13085,823,464,72558,18570,1813,455,820,44577,0,0,3,11,0,0,0,0,1,0,5476,770,6910,254,526,111
"홍천",6227,12611,2190,4440,1089,2784,186,27,1787,3504,4984,695,9,154,66,30,111,37,17,87,6472,3068,1067,1296,286,3355,703,414,3729,560,4802,5412,474,964,9539,434,1413,2128,1601,6748,3176,161,350,257,236,35,341,29,43,124,35,116,196,19435,4532,5285,4332,1059,1224,11101,14582,1456,4878,4713,1573,6755,16913,23573,10339,1781,1627,1623,1643,408,1954,1819,3686,3184,816,1291,2472,441,3069,468,152,69,243,1139,24,140,333,3953,2,1,0,0,0,0,1,0,4,73,2,27,63,8,1,0,0,0,5,130,81,2,52,13,34,23,7,1,159,1007,110,0,4,1,1,0,8,0,1,1,2,0,2,1,0,2,0,6354,1391,669,512,559,650,642,895,341,423,179,449,45,99,134,73,14,57,13,12,17,32,19,39,204,1222205,1365,35960,44954,113518,10377,35891,2886,5778,3402,9403,3059,4084,10117,2979,1603,2439,4507,1601,4793,536,257,14342,4873,1476,510,721,25966,0,0,1,2,0,0,0,0,0,0,4064,498,4119,378,440,68
"횡성",8580,4822,1155,1490,335,709,35,5,481,1032,1107,165,1,38,16,8,36,5,5,30,2676,1206,470,478,113,1453,281,144,2873,251,1843,17736,1054,3549,4121,348,602,646,426,1806,901,45,91,94,49,6,75,8,3,8,6,21,37,10961,2311,2267,2132,1098,612,6752,6022,544,2684,3017,1176,5482,9417,45879,2516,466,466,445,494,151,640,530,779,822,100,366,526,50,604,83,32,9,65,263,8,37,97,822,0,0,0,0,0,0,0,1,2,15,1,15,8,0,2,0,0,0,3,13,12,3,15,6,8,5,8,1,28,24,5,0,5,0,2,1,2,0,0,0,0,0,1,0,0,0,1,5722,610,439,127,367,226,176,260,106,166,56,107,12,44,41,12,2,13,1,3,4,10,4,3,33,340099,39937,227,24962,92378,11771,30799,2127,3973,1752,6803,1865,2132,7060,1553,1414,1629,1554,717,1845,199,73,3884,1384,368,96,116,9408,0,0,0,1,0,0,0,0,0,0,1662,190,1342,77,169,15
"북원주",3912,1672,330,618,141,319,19,5,139,281,622,80,2,12,6,3,14,4,6,16,676,344,119,97,28,388,76,47,918,59,533,13838,667,1690,2229,205,287,566,196,931,450,21,25,13,27,3,23,1,10,3,0,1,10,4801,770,828,844,295,241,2465,2101,202,1237,1179,454,2906,5247,11627,2732,1571,809,401,460,175,481,406,314,295,47,131,196,35,260,36,10,10,23,73,0,22,24,322,0,0,0,0,1,0,0,0,0,2,0,0,7,2,1,0,0,0,0,9,8,0,7,0,6,2,4,0,13,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,188,109,49,53,121,59,89,41,46,15,29,2,10,10,2,1,3,3,3,0,4,2,7,16,128501,33569,23923,316,26517,5002,10116,1103,1297,901,1717,599,493,1148,340,648,570,556,220,479,62,16,3490,1784,173,54,70,2990,0,0,0,0,0,0,0,0,0,0,1335,96,680,34,68,15
"남원주",152818,39906,6948,10583,2048,6283,402,71,2492,4688,10676,1235,25,316,133,55,255,68,42,171,12391,5881,2161,2525,543,7810,1224,764,8525,1208,12044,364495,12591,41114,21933,4085,5861,4965,2706,16432,6610,296,461,386,508,61,353,36,41,35,63,109,214,78888,13320,14246,14059,5634,3834,48710,41759,6868,23872,22224,9506,52447,53416,64801,22492,39096,35531,18011,20141,6827,19945,12992,8051,6818,2489,2371,2978,446,4012,613,166,86,421,1469,78,221,472,7342,3,0,0,0,1,1,1,1,15,123,7,54,105,12,1,0,1,0,9,147,85,17,68,32,34,50,25,1,214,121,25,3,10,3,0,1,8,0,0,0,2,3,3,0,0,3,0,51179,3958,1985,1071,1296,1070,1182,1878,690,992,306,774,93,185,208,105,15,83,37,31,31,32,33,58,376,320869,128902,93558,24895,4733,155995,476162,24673,42307,13153,47379,10647,10125,27118,6254,4930,4853,8376,3025,11573,1041,382,139819,61560,2550,760,955,44632,0,0,7,6,0,0,0,0,0,0,9681,628,4432,458,1053,147
"신림",31820,8558,9152,2455,283,571,20,7,169,267,623,94,6,24,10,4,20,7,7,33,2350,1169,522,347,152,1376,248,180,1370,230,1366,105703,3752,14366,5588,699,389,386,129,728,243,23,92,38,29,9,24,2,1,0,1,4,6,28758,4450,4932,4763,1985,1520,16316,10549,599,8304,14761,3861,10140,18280,57120,10684,5010,2225,693,755,517,841,604,351,350,38,155,250,35,550,55,17,13,25,303,8,20,53,506,1,0,0,0,0,0,0,1,0,3,0,5,2,0,0,0,0,0,0,4,5,1,1,1,0,3,1,0,10,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15689,1164,426,145,258,795,765,288,675,141,48,85,14,29,17,71,0,7,1,5,4,5,11,11,50,28161,13817,14633,7413,171263,333,72335,9455,13612,4879,15533,2789,2728,6430,1488,1293,1213,1875,782,1560,186,79,6618,3465,142,54,64,8315,0,0,0,3,0,0,0,0,0,0,1321,48,310,66,233,21
"제천",123087,33376,6712,9117,844,2376,103,14,436,953,2134,182,9,52,21,7,89,64,45,214,15323,6692,2824,2689,618,7821,1640,767,10456,1412,9024,390390,11432,52035,5667,2654,1016,1335,291,1820,573,50,97,65,75,8,31,5,0,0,6,1,10,122176,20605,18066,19353,5901,5306,50196,32108,3864,18314,17417,4978,36379,44646,111198,25997,8857,6926,2850,1536,817,2495,2383,1088,1317,167,424,869,130,1680,173,41,18,90,527,6,30,1958,1264,0,0,0,0,0,0,1,0,1,2,0,3,3,1,0,0,0,0,0,5,8,0,2,6,7,0,0,0,8,5,1,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,56951,4332,2290,575,1591,1730,1023,1228,413,495,174,483,116,91,116,92,5,26,11,6,8,9,14,17,168,92026,43018,32345,13735,494089,64622,6679,18689,40565,21788,85684,19264,10771,38867,8181,4662,5525,10033,3000,9088,1063,406,26386,16738,441,128,205,51753,0,0,3,5,0,1,0,0,0,0,2864,125,564,289,379,72
"남제천",8432,2026,305,360,58,123,7,3,16,49,117,8,0,4,2,0,21,20,6,38,3875,1790,773,569,195,2347,422,222,2729,344,2045,24068,1015,2044,335,199,109,57,11,89,31,2,10,6,2,1,4,0,0,0,0,1,0,6119,847,963,890,353,289,3365,2368,434,992,1036,389,3029,3958,6875,1511,920,400,196,242,109,280,222,92,75,6,24,37,5,55,5,4,1,6,17,3,3,24,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4148,283,90,28,51,17,32,58,23,43,9,29,2,3,3,5,0,0,1,1,0,1,1,1,5,4038,2907,2391,1374,24222,9620,24798,299,10684,9613,33856,5732,5409,14060,2510,1299,1660,3450,1129,2980,258,115,1860,1330,31,9,12,17118,0,0,0,0,0,0,0,0,0,0,276,10,58,20,27,8
"북단양",16635,5327,635,1146,150,347,16,4,82,126,232,32,1,8,6,1,14,25,25,159,5890,2716,889,927,295,3275,853,351,11822,1203,2703,58676,1731,6190,829,574,181,228,51,304,134,8,16,11,9,1,5,0,0,0,0,0,0,14481,3009,2198,2055,1192,702,7136,4797,1127,2936,2064,656,5470,7756,13669,1894,971,781,399,272,172,540,450,185,188,18,60,81,12,133,24,1,2,13,43,0,17,1,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9675,762,219,122,80,168,112,197,50,66,27,93,10,11,22,11,1,2,4,0,2,3,1,3,20,8291,6495,4745,2088,42714,11040,43290,12806,1598,23243,70455,11279,21372,39006,5020,6849,2598,15539,4858,5810,592,342,3986,3171,73,18,23,34398,0,0,4,2,0,0,0,0,0,0,540,22,92,41,65,10
"단양",5953,1809,466,397,69,144,3,3,25,48,86,18,0,15,8,3,34,30,27,141,12214,5858,1826,1536,529,6423,1839,640,8430,1413,6673,19934,903,1920,331,158,52,56,20,81,28,3,4,1,2,1,1,0,0,0,0,0,0,6464,1040,1029,982,322,251,2898,2196,170,1031,981,332,2091,3290,5602,977,612,304,209,239,180,417,264,42,81,1,19,38,6,41,10,1,1,0,13,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4030,302,94,55,50,35,39,69,18,18,8,23,4,2,3,4,2,0,1,1,1,0,0,1,3,4800,3466,2519,1310,14618,4618,20929,12100,21893,611,177862,23311,18493,39977,9201,5878,5245,12227,5734,10011,781,323,2172,1582,32,7,15,48703,0,0,6,2,0,0,0,0,0,0,260,9,68,19,26,4
"풍기",37886,12834,1839,2298,373,632,40,7,63,78,177,14,1,9,11,3,27,32,22,156,20770,7120,2486,1125,475,4493,997,511,5258,563,4640,146222,3478,9388,2235,570,327,248,61,256,90,8,9,7,8,1,1,1,0,0,0,0,0,34705,7033,6444,6057,2679,1700,17889,12072,1077,4753,3771,1375,9100,12567,23626,4013,1470,1319,887,686,325,1139,988,55,125,12,48,62,11,71,9,0,0,5,13,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21016,1475,537,773,408,256,181,429,113,174,45,85,12,5,5,2,1,5,1,0,0,1,0,0,7,19307,11841,10450,4969,62915,16046,82882,45495,72587,175017,99,9473,11660,61929,11574,6053,6925,16400,6584,15887,502,295,7430,5014,30,15,25,52600,0,0,3,4,0,1,0,0,0,0,949,48,112,103,139,33
"영주",10892,2467,470,687,140,319,31,16,46,88,462,51,2,25,50,12,152,173,115,657,107780,30006,10293,3219,1348,14312,3109,1496,22824,2645,16428,33723,1101,2397,824,188,84,69,18,121,44,20,14,13,8,4,1,1,0,0,0,0,0,9753,1923,1687,1275,515,539,4731,3011,285,1254,914,420,2620,3771,5349,1311,404,327,264,239,93,361,326,86,154,15,85,129,21,130,22,4,3,17,25,2,1,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7124,537,153,45,93,78,88,94,30,41,12,14,6,0,3,5,1,0,1,3,0,2,0,1,3,6161,3743,2714,1518,14246,2723,17992,7125,9301,19144,11055,180,34835,124414,31066,19582,20048,68244,21508,68722,2099,1273,2941,1946,96,31,81,196190,0,0,17,13,0,0,0,0,0,0,416,12,52,31,52,12
"예천",5484,1278,137,210,26,28,6,1,2,6,46,8,0,5,7,2,22,21,12,76,15173,4603,1339,582,215,2105,526,292,3622,378,2516,21805,693,1359,134,98,14,8,10,10,2,2,0,2,0,0,0,0,0,0,0,0,0,4956,676,822,688,378,224,2624,1491,86,657,527,186,1301,1817,2828,1062,469,462,343,349,201,510,763,6,18,1,6,15,0,14,2,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,202,75,6,46,7,10,26,10,6,1,6,1,0,1,1,0,0,1,0,0,0,0,0,0,7886,4521,2321,1045,12097,2829,9658,7301,14241,13296,13018,39392,301,32690,6440,3772,4090,7074,3340,11170,374,130,4758,3733,4,2,5,29582,0,0,4,0,0,0,0,0,0,0,144,7,14,4,8,3
